Title,Price(Ty),Area(m2),Bedroom,Toilet,Location,Price_per_m2(trieu)
Bán đất biển MT Hoàng Sa 205m2 - Đối diện bãi tắm Mân Thái - giá chính chủ cần bán. LH0905 350 ***,0.0,205,,,"Sơn Trà, Đà Nẵng",
Duy nhất lô góc ngã 4 shophouse Infinity 116m2 cần bán gọi0905 350 ***có giá tốt nhất chính chủ,0.0,116,,,"Liên Chiểu, Đà Nẵng",
Bán gấp lô đất MT Thủ Khoa Huân - Gần Nguyễn Văn Thoại 174m2 MT hơn 6m - giá rẻ - LH0905 350 ***,0.0,174,,,"Sơn Trà, Đà Nẵng",
"Bán nhà An Mỹ 4, An Hải Tây, Sơn Trà, Đà Nẵng",4.3,56,2.0,2.0,"Sơn Trà, Đà Nẵng",76.79
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
MT kinh doanh - Đường Phạm Nhữ Tăng ngang 6.7m - Gía rẻ - Lh0905 350 ***mua bán chính chủ,0.0,91,,,"Thanh Khê, Đà Nẵng",
Chính Chủ bán lô Nước Mặn 5 sát góc khu Nam Việt Á. Liên hệ Loan0979 141 ***,4.1,95,,,"Ngũ Hành Sơn, Đà Nẵng",43.16
Chủ cần bán nhanh nhà 2 tầng MT Mỹ An 25 - 100m2 - giá rẻ - LH0905 350 ***xem nhà và gặp chủ LV,0.0,100,3.0,,"Ngũ Hành Sơn, Đà Nẵng",
Hiếm nhà 3 tầng MT Nguyễn Văn Linh 210m2 ngang 9m giá hơn 50 tỷ LH0905 350 ***mua bán chính chủ,54.0,210,,,"Hải Châu, Đà Nẵng",257.14
Giảm 1 tỷ bán nhanh mặt tiền Hà Bổng - Cách biển Mỹ Khê 100m - 123m2 thuận tiện KD LH0905 350 ***,0.0,123,,,"Sơn Trà, Đà Nẵng",
Chính chủ cần bán 3 lô đất MT Mai Thúc Lân 140m2 ngang 6m gía bán 16 tỷ TL. LH0905 350 ***xem đất,16.0,140,,,"Ngũ Hành Sơn, Đà Nẵng",114.29
"Bán nhà shophouse 2,5 tầng có nội thất, trục chính khu đô thị FPT Đà Nẵng, có thể kinh doanh ngay",4.9,108,2.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",45.37
"Cần bán góc 225m2 đường Lê Quảng Chí, Hòa Xuân, vị trí đẹp",18.5,"225,5",,,"Cẩm Lệ, Đà Nẵng",82.04
"Chủ bán nhanh lô đất MT Văn Tân - Đường 7.5m, DT 154m2 - Ngay khu phố chợ Non Nước - Chỉ 3.55 tỷ",3.55,154,,,"Ngũ Hành Sơn, Đà Nẵng",23.05
Mỹ Đa Đông 10 - 11 - 12 P. Mỹ An - Ngũ Hành Sơn,0.0,225,,,"Ngũ Hành Sơn, Đà Nẵng",
Bán góc hai mặt tiền Chế Lan Viên,15.0,210,,,"Ngũ Hành Sơn, Đà Nẵng",71.43
Các góc hai mặt tiền Khuê Mỹ Đông,12.51,139,,,"Ngũ Hành Sơn, Đà Nẵng",90.0
"Bán shophouse 3 tầng đường Lý Nhật Quang cách sông Hàn 150m, giá chỉ 11,5 tỷ full nội thất",11.5,120,5.0,5.0,"Sơn Trà, Đà Nẵng",95.83
"Shophouse mặt sông Hàn, chỉ còn vài căn giá cực tốt, chiết khấu cao lên đến 17.5% giai đoạn 1",16.2,108,5.0,,"Sơn Trà, Đà Nẵng",150.0
"Cẩm Hương - Quỹ ngoại giao 1BR+1 Sun Ponte P1-19 - 03 view sông Hàn chiết khấu 15%, hỗ trợ vay 70%",5.9,"69,1",2.0,2.0,"Sơn Trà, Đà Nẵng",85.38
"Bán shophouse 3 tầng full nội thất đường Lý Nhật Quang cạnh dự án Sun Symphony, giá chỉ 11,5 tỷ",10.5,120,,,"Sơn Trà, Đà Nẵng",87.5
Tổng hợp lãi suất vay mua bất động sản ưu đãi nhất thị trường,,,,,,
Bán căn nhà 3 tầng ngay góc 2MT biển Mỹ Khê giá 17tỷ,17.0,115,6.0,6.0,"Ngũ Hành Sơn, Đà Nẵng",147.83
"Tòa S3 - Căn hộ studio view sông Hàn, Sonata - DT 37,2m2, giá 2,5 tỷ",2.5,"37,2",1.0,1.0,"Sơn Trà, Đà Nẵng",67.2
Bán đất ngay MT tặng nhà cấp 4 Hoá Sơn giá rẻ nhất chỉ 3tỷxx,3.3,56,2.0,2.0,"Hải Châu, Đà Nẵng",58.93
Bán nhà 3 tầng MT đường Lê Thanh Nghị - Gần Phan Đăng Lưu. DT 81m2 giá 11.9 tỷ TL,11.9,81,5.0,3.0,"Hải Châu, Đà Nẵng",146.91
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
Ra mắt lần đầu tiên trên thị trường căn hộ trực diện sông Hàn view ngắm pháo hoa quốc tế,1.45,35,1.0,1.0,"Sơn Trà, Đà Nẵng",41.43
"Bán đất diện tích 150m2 (7,5x20m) - cạnh trường quốc tế Singapore - giá 4.2 tỷ",4.2,150,,,"Ngũ Hành Sơn, Đà Nẵng",28.0
"Bán lô góc 2 mặt tiền Nguyễn Đình Chiểu, đoạn đầu đường sầm uất, 158m2, giá chỉ 7.x tỷ",0.0,158,,,"Ngũ Hành Sơn, Đà Nẵng",
Tôi cần bán gấp lô đất kẹp cống - tái định cư Bình Kì khu dân trí cao - ở kinh doanh sầm uất,2.75,100,,,"Ngũ Hành Sơn, Đà Nẵng",27.5
"Bán đất đường Trần Đại Nghĩa, Phú Mỹ An, diện tích 187.5m2 giá chỉ 9.2 tỷ",9.2,"187,5",,,"Ngũ Hành Sơn, Đà Nẵng",49.07
"Siêu hot! Bán cặp đất đường An Thượng 26, 180m2 - đấu lưng Nguyễn Văn Thoại. 100m ra biển Mỹ Khê",26.0,180,,,"Ngũ Hành Sơn, Đà Nẵng",144.44
Bán đất tặng nhà mặt tiền Huy Cận gần ngay Đại Học Ngoại Ngữ và Đại Học Kiến Trúc,7.8,"142,5",,,"Cẩm Lệ, Đà Nẵng",54.74
"Góc 2 mặt tiền, DT 68m2 nhà 3 tầng đường Trần Huy Liệu, gần Chợ Cẩm Lệ",5.6,68,4.0,5.0,"Cẩm Lệ, Đà Nẵng",82.35
